TimeIndex,Grid,PVPower,Gebaeudelast,Strompreis,CO2
1555349400.0,138.92,0.0,14.325802,26.807,87.67899008
1555350300.0,136.16,0.0,14.593573999999998,26.807,87.37260383
1555351200.0,136.16,0.0,14.861346,26.807,85.03121951
1555352100.0,136.16,0.0,14.995232,26.807,83.76453628
1555353000.0,136.16,0.0,14.995232,26.807,82.78624102
1555353900.0,138.92,0.0,14.861346,26.807,82.59972503
1555354800.0,138.92,0.0,14.459688,26.807,81.52336977
1555355700.0,138.92,0.0,14.058029999999999,26.807,80.04496669
1555356600.0,138.92,0.0,13.522486,26.807,79.08697046
1555357500.0,138.92,0.0,12.986941999999999,26.807,77.6599293
1555358400.0,136.16,0.0,12.71917,26.807,78.12152477
1555359300.0,136.16,0.0,12.451398,26.807,77.80536454
1555360200.0,138.92,0.0,12.317511999999999,26.807,77.31599054
